redis-1  | 1:C 17 May 2026 20:12:23.170 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
redis-1  | 1:C 17 May 2026 20:12:23.171 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
redis-1  | 1:C 17 May 2026 20:12:23.171 * Redis version=7.4.9, bits=64, commit=00000000, modified=0, pid=1, just started
redis-1  | 1:C 17 May 2026 20:12:23.171 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
redis-1  | 1:M 17 May 2026 20:12:23.172 * Increased maximum number of open files to 10032 (it was originally set to 1024).
redis-1  | 1:M 17 May 2026 20:12:23.172 * monotonic clock: POSIX clock_gettime
redis-1  | 1:M 17 May 2026 20:12:23.176 * Running mode=standalone, port=6379.
redis-1  | 1:M 17 May 2026 20:12:23.177 * Server initialized
redis-1  | 1:M 17 May 2026 20:12:23.178 * Ready to accept connections tcp
redis-1  | 1:M 17 May 2026 20:45:50.072 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 17 May 2026 20:45:50.073 * Background saving started by pid 16
redis-1  | 16:C 17 May 2026 20:45:50.082 * DB saved on disk
redis-1  | 16:C 17 May 2026 20:45:50.082 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 17 May 2026 20:45:50.176 * Background saving terminated with success
redis-1  | 1:M 17 May 2026 20:52:46.415 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 17 May 2026 20:52:46.417 * Background saving started by pid 17
redis-1  | 17:C 17 May 2026 20:52:46.425 * DB saved on disk
redis-1  | 17:C 17 May 2026 20:52:46.426 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 17 May 2026 20:52:46.518 * Background saving terminated with success
redis-1  | 1:M 17 May 2026 21:04:44.168 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 17 May 2026 21:04:44.172 * Background saving started by pid 18
redis-1  | 18:C 17 May 2026 21:04:44.182 * DB saved on disk
redis-1  | 18:C 17 May 2026 21:04:44.183 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 17 May 2026 21:04:44.274 * Background saving terminated with success
redis-1  | 1:M 17 May 2026 21:14:41.726 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 17 May 2026 21:14:41.729 * Background saving started by pid 19
redis-1  | 19:C 17 May 2026 21:14:41.748 * DB saved on disk
redis-1  | 19:C 17 May 2026 21:14:41.751 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 17 May 2026 21:14:41.836 * Background saving terminated with success
redis-1  | 1:M 17 May 2026 22:14:42.076 * 1 changes in 3600 seconds. Saving...
redis-1  | 1:M 17 May 2026 22:14:42.078 * Background saving started by pid 20
redis-1  | 20:C 17 May 2026 22:14:42.084 * DB saved on disk
